Reference,Category,Description,Qty,Selection_Status,MPN,Manufacturer,Critical,Notes
U1,Motor driver,18-V 2-A dual H-bridge motor driver HTSSOP-16,1,Selected,DRV8848PWPR,Texas Instruments,yes,"Reference profile; verified active lifecycle and 18V abs-max rating"
R_SENSE_A,Current sense,0.56 ohm 2 W 1% low-inductance metal strip resistor SMD 2512,1,Selected,WSL2512R5600FEA,Vishay Dale,yes,"Sets ~0.893 A nominal full-scale chopping current at VREF=3.3V; rated 2W with low thermal EMF"
R_SENSE_B,Current sense,0.56 ohm 2 W 1% low-inductance metal strip resistor SMD 2512,1,Selected,WSL2512R5600FEA,Vishay Dale,yes,"Sets ~0.893 A nominal full-scale chopping current at VREF=3.3V; rated 2W with low thermal EMF"
C_VM_HF,Decoupling,0.1 uF 50 V X7R ceramic capacitor SMD 0805,1,Selected,GRM21BR71H104KA01L,Murata,yes,"High-frequency bypass placed directly across VM and GND pins"
C_VM_LOCAL,Decoupling,22 uF 25 V X7R ceramic capacitor SMD 1210,1,Selected,GRM32ER71E226KE15L,Murata,yes,"Exceeds 10uF minimum requirement; rated 25V for DC-bias margin under 12V supply"
C_VINT,Decoupling,2.2 uF 16 V X7R ceramic capacitor SMD 0805,1,Selected,GRM21BR71C225KA12L,Murata,yes,"Internal 3.3V regulator bypass capacitor placed adjacent to VINT pin"
R_NFAULT,Logic,10 kOhm 0.125 W 5% chip resistor SMD 0805,1,Selected,RC0805JR-0710KL,Yageo,no,"Open-drain fault output pull-up resistor to logic voltage rail"
J1,Power connector,5.08mm pitch 2-position screw terminal block (16A 300V),1,Selected,1935161,Phoenix Contact,yes,"Motor power input terminal (VM and GND), rated 16A continuous"
J2,Motor connector,5.08mm pitch 2-position screw terminal block (16A 300V),1,Selected,1935161,Phoenix Contact,yes,"Motor Channel A output terminal (AOUT1 and AOUT2)"
J3,Motor connector,5.08mm pitch 2-position screw terminal block (16A 300V),1,Selected,1935161,Phoenix Contact,yes,"Motor Channel B output terminal (BOUT1 and BOUT2)"
J4,Logic header,2.54mm pitch 1x9 straight male pin header (3A gold),1,Selected,61300911121,Wurth Elektronik,no,"MCU interface header (GND, VLOGIC, AIN1, AIN2, BIN1, BIN2, nSLEEP, nFAULT, VREF)"
F1,Protection,3.0 A 125 V fast-acting Nano2 SMD 2410 fuse,1,Selected,0451003.MRL,Littelfuse,yes,"Primary power protection sized for dual 1.0A continuous load with stall margin"
D_TVS,Protection,15 V 400 W unidirectional TVS diode SMA / DO-214AC,1,Selected,SMAJ15A,Bourns,yes,"Transient overvoltage suppression clamp below DRV8848 18V absolute maximum"
Q_RPOL,Protection,-20 V -3.1 A P-channel MOSFET SOT-23,1,Selected,SI2301CDS-T1-GE3,Vishay Siliconix,yes,"Reverse-polarity protection switch with <75 mOhm on-resistance"
C_BULK,Input bulk,220 uF 25 V hybrid polymer aluminum electrolytic SMD 8x10.2mm,1,Selected,EEH-ZA1E221P,Panasonic,no,"Ultra-low ESR (27 mOhm) 2.0A ripple bulk capacitor for motor inductive kickback"
